00A1	\textexclamdown
04C5	\CYRLDSC
04C6	\cyrldsc
04C7	\CYRNHK
04C8	\cyrnhk
04CB	\CYRCHLDSC
04CC	\cyrchldsc
04CD	\CYRMDSC
04CE	\cyrmdsc
04D0	\u\CYRA
04D1	\u\cyra
04D2	\"\CYRA
04D3	\"\cyra
04D4	\CYRAE
04D5	\cyrae
04D6	\u\CYRE
04D7	\u\cyre
04D8	\CYRSCHWA
04D9	\cyrschwa
04DA	\"\CYRSCHWA
04DB	\"\cyrschwa
04DC	\"\CYRZH
04DD	\"\cyrzh
04DE	\"\CYRZ
04DF	\"\cyrz
04E0	\CYRABHDZE
04E1	\cyrabhdze
04E2	\=\CYRI
04E3	\=\cyri
04E4	\"\CYRI
04E5	\"\cyri
04E6	\"\CYRO
04E7	\"\cyro
04E8	\CYROTLD
04E9	\cyrotld
04EC	\"\CYREREV
04ED	\"\cyrerev
04EE	\=\CYRU
04EF	\=\cyru
04F0	\"\CYRU
04F1	\"\cyru
04F2	\H\CYRU
04F3	\H\cyru
04F4	\"\CYRCH
04F5	\"\cyrch
04F6	\CYRGDSC
04F7	\cyrgdsc
04F8	\"\CYRERY
04F9	\"\cyrery
04FA	\CYRGDSCHCRS
04FB	\cyrgdschcrs
04FC	\CYRHHK
04FD	\cyrhhk
04FE	\CYRHHCRS
04FF	\cyrhhcrs
0E3F	\textbaht
200C	\textcompwordmark
2013	\textendash
2014	\textemdash
2016	\textbardbl
2018	\textquoteleft
2019	\textquoteright
201A	\quotesinglbase
201C	\textquotedblleft
201D	\textquotedblright
201E	\quotedblbase
2020	\textdagger
2021	\textdaggerdbl
2022	\textbullet
2026	\textellipsis
2030	\textperthousand
2031	\textpertenthousand
2039	\guilsinglleft
203A	\guilsinglright
203B	\textreferencemark
203D	\textinterrobang
2044	\textfractionsolidus
204E	\textasteriskcentered
2052	\textdiscount
20A1	\textcolonmonetary
20A4	\textlira
20A6	\textnaira
20A9	\textwon
20AB	\textdong
20AC	\texteuro
20B1	\textpeso
2103	\textcelsius
2116	\textnumero
2117	\textcircledP
211E	\textrecipe
2120	\textservicemark
2122	\texttrademark
2126	\textohm
2127	\textmho
212E	\textestimated
2190	\textleftarrow
2191	\textuparrow
2192	\textrightarrow
2193	\textdownarrow
2329	\textlangle
232A	\textrangle
2422	\textblank
2423	\textvisiblespace
25E6	\textopenbullet
25EF	\textbigcircle
266A	\textmusicalnote
